Date,HomeTeam,AwayTeam,FTHG,FTAG,PSCH,PSCD,PSCA
08/05/2026,Dortmund,Ein Frankfurt,,,,,
09/05/2026,Hoffenheim,Werder Bremen,,,,,
09/05/2026,Augsburg,M'gladbach,,,,,
09/05/2026,Stuttgart,Leverkusen,,,,,
09/05/2026,RB Leipzig,St Pauli,,,,,
09/05/2026,Wolfsburg,Bayern Munich,,,,,
10/05/2026,Hamburg,Freiburg,,,,,
10/05/2026,FC Koln,Heidenheim,,,,,
10/05/2026,Mainz,Union Berlin,,,,,
16/05/2026,Heidenheim,Mainz,,,,,
16/05/2026,St Pauli,Wolfsburg,,,,,
16/05/2026,Union Berlin,Augsburg,,,,,
16/05/2026,M'gladbach,Hoffenheim,,,,,
16/05/2026,Werder Bremen,Dortmund,,,,,
16/05/2026,Freiburg,RB Leipzig,,,,,
16/05/2026,Ein Frankfurt,Stuttgart,,,,,
16/05/2026,Leverkusen,Hamburg,,,,,
16/05/2026,Bayern Munich,FC Koln,,,,,
